ZIP_CODE,pop_density_meters,population,population_error,land_area_sq_meter,land_area_error,ZCTA
01506,68.86,3443.0,20.0,50.0,44.0,01506
01507,69.83246073298429,13338.0,38.0,191.0,103.0,01507
01510,36.980722891566266,15347.0,26.0,415.0,213.0,01510
01515,34.193548387096776,2120.0,280.0,62.0,36.0,01515
01516,115.1625,9213.0,333.0,80.0,72.0,01516
01518,12.856540084388186,3047.0,474.0,237.0,137.0,01518
01519,763.4,7634.0,866.0,10.0,15.0,01519
01520,67.03571428571429,16893.0,479.0,252.0,79.0,01520
01521,43.083333333333336,2585.0,19.0,60.0,39.0,01521
01522,36.58227848101266,2890.0,479.0,79.0,81.0,01522
01523,24.40406976744186,8395.0,29.0,344.0,248.0,01523
01524,41.62328767123287,6077.0,758.0,146.0,78.0,01524
01525,0.0,31.0,51.0,0.0,14.0,01525
01527,52.669201520912544,13852.0,22.0,263.0,137.0,01527
01529,22.685714285714287,3176.0,35.0,140.0,130.0,01529
01531,65.6,984.0,178.0,15.0,12.0,01531
01532,143.55045871559633,15647.0,23.0,109.0,57.0,01532
01534,43.65185185185185,5893.0,759.0,135.0,97.0,01534
01535,226.1904761904762,4750.0,17.0,21.0,18.0,01535
01536,260.07142857142856,7282.0,747.0,28.0,25.0,01536
01537,69.10714285714286,1935.0,661.0,28.0,25.0,01537
01540,44.263565891472865,11420.0,661.0,258.0,110.0,01540
01541,184.05263157894737,3497.0,18.0,19.0,20.0,01541
01542,35.63291139240506,2815.0,639.0,79.0,97.0,01542
01543,46.676923076923075,9102.0,36.0,195.0,135.0,01543
01545,46.61131167268351,38734.0,30.0,831.0,236.0,01545
01550,20.83608490566038,17669.0,38.0,848.0,265.0,01550
01560,26.897727272727273,4734.0,415.0,176.0,145.0,01560
01561,,0.0,14.0,0.0,14.0,01561
01562,78.65131578947368,11955.0,20.0,152.0,111.0,01562
01564,30.973076923076924,8053.0,16.0,260.0,138.0,01564
01566,40.44642857142857,6795.0,474.0,168.0,96.0,01566
01568,355.8181818181818,7828.0,148.0,22.0,28.0,01568
01569,45.141479099678456,14039.0,334.0,311.0,103.0,01569
01570,30.73217391304348,17671.0,24.0,575.0,170.0,01570
01571,77.17532467532467,11885.0,26.0,154.0,77.0,01571
01581,45.063291139240505,21360.0,45.0,474.0,177.0,01581
01583,40.85245901639344,7476.0,88.0,183.0,120.0,01583
01585,37.52713178294574,4841.0,431.0,129.0,131.0,01585
01588,42.04016064257028,10468.0,780.0,249.0,137.0,01588
01590,80.59130434782608,9268.0,109.0,115.0,89.0,01590
01602,22.77200704225352,25869.0,1965.0,1136.0,241.0,01602
01603,50.80589680589681,20678.0,1436.0,407.0,116.0,01603
01604,33.216965742251226,40724.0,1674.0,1226.0,327.0,01604
01605,34.76136363636363,30590.0,1713.0,880.0,285.0,01605
01606,21.934108527131784,22636.0,1607.0,1032.0,275.0,01606
01607,40.70754716981132,8630.0,1222.0,212.0,107.0,01607
01608,29.36416184971098,5080.0,840.0,173.0,100.0,01608
01609,30.721268163804492,23256.0,1765.0,757.0,200.0,01609
01610,41.97670807453416,27033.0,1629.0,644.0,208.0,01610
01611,53.36585365853659,2188.0,518.0,41.0,38.0,01611
01612,34.57241379310345,5013.0,18.0,145.0,137.0,01612
01701,69.5632911392405,32973.0,1419.0,474.0,214.0,01701
01702,36.55827067669173,38898.0,1423.0,1064.0,237.0,01702
01718,0.0,737.0,319.0,0.0,14.0,01718
01719,37.41095890410959,5462.0,26.0,146.0,115.0,01719
01720,116.57070707070707,23081.0,321.0,198.0,84.0,01720
01721,60.10967741935484,18634.0,31.0,310.0,135.0,01721
01730,121.07563025210084,14408.0,113.0,119.0,82.0,01730
01731,892.0,1784.0,490.0,2.0,3.0,01731
01740,403.7857142857143,5653.0,21.0,14.0,21.0,01740
01741,260.45,5209.0,25.0,20.0,23.0,01741
01742,60.83388704318937,18311.0,51.0,301.0,176.0,01742
01745,42.61538461538461,554.0,166.0,13.0,20.0,01745
01746,118.26984126984127,14902.0,21.0,126.0,64.0,01746
01747,27.244343891402714,6021.0,27.0,221.0,129.0,01747
01748,103.01098901098901,18748.0,28.0,182.0,97.0,01748
01749,120.89090909090909,19947.0,24.0,165.0,115.0,01749
01752,113.71153846153847,41391.0,30.0,364.0,145.0,01752
01754,35.92929292929293,10671.0,37.0,297.0,175.0,01754
01756,91.73529411764706,6238.0,18.0,68.0,75.0,01756
01757,79.60994764397905,30411.0,154.0,382.0,169.0,01757
01760,25.068417415342086,36274.0,176.0,1447.0,277.0,01760
01770,200.1818181818182,4404.0,27.0,22.0,31.0,01770
01772,131.56,9867.0,168.0,75.0,53.0,01772
01773,55.48936170212766,5216.0,498.0,94.0,54.0,01773
01775,71.82828282828282,7111.0,18.0,99.0,64.0,01775
01776,111.32941176470588,18926.0,33.0,170.0,110.0,01776
01778,42.37951807228916,14070.0,161.0,332.0,120.0,01778
01801,54.07915567282322,40992.0,31.0,758.0,252.0,01801
01803,276.63829787234044,26004.0,119.0,94.0,63.0,01803
01810,142.448,35612.0,93.0,250.0,97.0,01810
01821,172.3687150837989,30854.0,986.0,179.0,91.0,01821
